02:49:15.122 > 26; Data: 2
02:49:15.122 > MEMORY:  Size: 100; Address: 0; Redundancy: 2; Data id: 26; Save count: 0
02:49:15.122 > 6; Data: 2
02:49:15.122 > READ:    Memory read at id: 26; Data: 2
02:49:15.122 > MEMORY:  Size: 100; Address: 0; Redundancy: 2; Data id: 26; Save count: 0
02:49:16.705 > READ:    Memory read at id: 0; Data: 255
02:49:16.709 > READ:    Memory read at id: 1; Data: 255
02:49:16.709 > READ:    Memory read at id: 2; Data: 255
02:49:16.713 > READ:    Memory read at id: 3; Data: 255
02:49:16.717 > READ:    Memory read at id: 4; Data: 255
02:49:16.721 > READ:    Memory read at id: 5; Data: 255
02:49:16.725 > READ:    Memory read at id: 6; Data: 255
02:49:16.729 > READ:    Memory read at id: 7; Data: 255
02:49:16.733 > READ:    Memory read at id: 8; Data: 255
02:49:16.738 > READ:    Memory read at id: 9; Data: 255
02:49:16.738 > READ:    Memory read at id: 10; Data: 255
02:49:16.742 > READ:    Memory read at id: 11; Data: 255
02:49:16.746 > READ:    Memory read at id: 12; Data: 255
02:49:16.750 > READ:    Memory read at id: 13; Data: 255
02:49:16.754 > READ:    Memory read at id: 14; Data: 255
02:49:16.758 > READ:    Memory read at id: 15; Data: 255
02:49:16.762 > READ:    Memory read at id: 16; Data: 255
02:49:16.765 > READ:    Memory read at id: 17; Data: 255
02:49:16.770 > READ:    Memory read at id: 18; Data: 255
02:49:16.774 > READ:    Memory read at id: 19; Data: 255
02:49:16.774 > READ:    Memory read at id: 20; Data: 255
02:49:16.778 > READ:    Memory read at id: 21; Data: 255
02:49:16.782 > READ:    Memory read at id: 22; Data: 255
02:49:16.786 > READ:    Memory read at id: 23; Data: 255
02:49:16.790 > READ:    Memory read at id: 24; Data: 255
02:49:16.794 > READ:    Memory read at id: 25; Data: 255
02:49:16.798 > READ:    Memory read at id: 26; Data: 2
02:49:16.802 > READ:    Memory read at id: 26; Data: 2
02:49:16.802 > MEMORY:  Size: 100; Address: 0; Redundancy: 2; Data id: 26; Save count: 0
02:49:18.703 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:20.706 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:22.709 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:24.711 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:26.714 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:28.717 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:30.720 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:32.727 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:34.730 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:36.733 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:38.735 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:40.738 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:42.741 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:44.744 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:46.747 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:48.750 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:50.756 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:52.759 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:54.762 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:56.765 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:49:58.767 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:00.771 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:02.773 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:04.776 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:06.778 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:08.786 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:10.789 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:12.792 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
02:50:14.794 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    2->None; Manual: None; LocNow: None; LocStop: None; Motion: Yes
