22:55:10.907 > EAD:    Memory read at id: 6; Data: 255
22:55:10.907 > READ:    Memory YX
22:55:10.907 > сid: 7; Data: 25�READ:    Memory read at id: 0; Data: 255
22:55:12.490 > READ:    Memory read at id: 1; Data: 255
22:55:12.494 > READ:    Memory read at id: 2; Data: 255
22:55:12.498 > READ:    Memory read at id: 3; Data: 255
22:55:12.502 > READ:    Memory read at id: 4; Data: 255
22:55:12.506 > READ:    Memory read at id: 5; Data: 255
22:55:12.511 > READ:    Memory read at id: 6; Data: 255
22:55:12.511 > READ:    Memory read at id: 7; Data: 255
22:55:12.515 > READ:    Memory read at id: 8; Data: 255
22:55:12.519 > READ:    Memory read at id: 9; Data: 255
22:55:12.523 > READ:    Memory read at id: 10; Data: 255
22:55:12.527 > READ:    Memory read at id: 11; Data: 255
22:55:12.531 > READ:    Memory read at id: 12; Data: 255
22:55:12.535 > READ:    Memory read at id: 13; Data: 255
22:55:12.539 > READ:    Memory read at id: 14; Data: 255
22:55:12.539 > READ:    Memory read at id: 15; Data: 255
22:55:12.543 > READ:    Memory read at id: 16; Data: 255
22:55:12.547 > READ:    Memory read at id: 17; Data: 255
22:55:12.551 > READ:    Memory read at id: 18; Data: 255
22:55:12.556 > READ:    Memory read at id: 19; Data: 255
22:55:12.560 > READ:    Memory read at id: 20; Data: 255
22:55:12.564 > READ:    Memory read at id: 21; Data: 255
22:55:12.568 > READ:    Memory read at id: 22; Data: 255
22:55:12.572 > READ:    Memory read at id: 23; Data: 255
22:55:12.576 > READ:    Memory read at id: 24; Data: 255
22:55:12.576 > READ:    Memory read at id: 25; Data: 255
22:55:12.580 > READ:    Memory read at id: 26; Data: 255
22:55:12.584 > READ:    Memory read at id: 27; Data: 255
22:55:12.588 > READ:    Memory read at id: 28; Data: 255
22:55:12.592 > READ:    Memory read at id: 29; Data: 255
22:55:12.597 > READ:    Memory read at id: 30; Data: 255
22:55:12.601 > READ:    Memory read at id: 31; Data: 255
22:55:12.605 > READ:    Memory read at id: 32; Data: 255
22:55:12.609 > READ:    Memory read at id: 33; Data: 255
22:55:12.609 > READ:    Memory read at id: 34; Data: 255
22:55:12.613 > READ:    Memory read at id: 35; Data: 255
22:55:12.617 > READ:    Memory read at id: 36; Data: 255
22:55:12.621 > READ:    Memory read at id: 37; Data: 255
22:55:12.624 > READ:    Memory read at id: 38; Data: 255
22:55:12.629 > READ:    Memory read at id: 39; Data: 255
22:55:12.633 > READ:    Memory read at id: 40; Data: 255
22:55:12.637 > READ:    Memory read at id: 41; Data: 255
22:55:12.642 > READ:    Memory read at id: 42; Data: 255
22:55:12.642 > READ:    Memory read at id: 43; Data: 255
22:55:12.645 > READ:    Memory read at id: 44; Data: 255
22:55:12.649 > READ:    Memory read at id: 45; Data: 255
22:55:12.653 > READ:    Memory read at id: 46; Data: 255
22:55:12.658 > READ:    Memory read at id: 47; Data: 255
22:55:12.662 > READ:    Memory read at id: 48; Data: 255
22:55:12.666 > READ:    Memory read at id: 49; Data: 255
22:55:12.670 > READ:    Memory read at id: 50; Data: 255
22:55:12.674 > READ:    Memory read at id: 51; Data: 255
22:55:12.678 > READ:    Memory read at id: 52; Data: 3
22:55:12.678 > READ:    Memory read at id: 52; Data: 3
22:55:12.682 > MEMORY:  Size: 100; Address: 0; Redundancy: 2; Data id: 52; Save count: 0
22:55:14.488 > LOG:     Motor: Stopped; LedStrip: Off; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:16.492 > LOG:     Motor: Stopped; LedStrip: Off; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:18.493 > LOG:     Motor: Stopped; LedStrip: Off; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:20.497 > LOG:     Motor: Stopped; LedStrip: Off; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:21.402 > SPECIAL: Emergency state!
22:55:30.461 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:32.464 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:34.467 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:36.470 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:38.473 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:40.476 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:42.479 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:44.482 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:46.484 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:48.491 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:50.493 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:52.496 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:54.499 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:56.502 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:55:58.505 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:56:00.507 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:56:02.510 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:56:04.513 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:56:06.515 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:56:08.523 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:56:10.526 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:56:12.527 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
22:56:14.530 > LOG:     Motor: Stopped; LedStrip: On ; Goal:    3->None; Manual: None; LocNow: None; LocStop: None
